"PRD_CODIGO","TPD_CODIGO","TDT_ORIGEN","TDT_OBLIGATORIO","TDT_VERSION","TDT_VISIBLE","TDT_CATEGORIA","AUD_FECHA","AUD_USUARIO"
1,1,"O","M","V","","",08/10/20,"ANAPONTE"
2,2,"O","O","V","","",08/10/20,"ANAPONTE"
3,3,"O","O","V","","",08/10/20,"ANAPONTE"
4,4,"O","M","V","","",08/10/20,"ANAPONTE"
5,5,"O","M","V","","",08/10/20,"ANAPONTE"
6,6,"O","M","V","","",08/10/20,"ANAPONTE"
7,7,"O","M","V","","",08/10/20,"ANAPONTE"
8,8,"O","O","V","","",08/10/20,"ANAPONTE"
9,9,"O","O","V","","",08/10/20,"ANAPONTE"
10,10,"O","O","V","","",08/10/20,"ANAPONTE"
11,11,"O","M","S","","",08/10/20,"ANAPONTE"
12,12,"O","M","V","","",08/10/20,"ANAPONTE"
13,13,"O","M","V","","",08/10/20,"ANAPONTE"
14,14,"O","O","V","","",08/10/20,"ANAPONTE"
15,15,"O","M","V","","",08/10/20,"ANAPONTE"
16,16,"O","M","V","","",08/10/20,"ANAPONTE"
17,17,"O","O","V","","",08/10/20,"ANAPONTE"
18,18,"O","O","V","","",08/10/20,"ANAPONTE"
19,19,"O","M","V","","",08/10/20,"ANAPONTE"
20,20,"O","M","V","","",08/10/20,"ANAPONTE"
21,21,"O","M","V","","",08/10/20,"ANAPONTE"
22,22,"O","O","V","","",08/10/20,"ANAPONTE"
23,23,"O","M","V","","",08/10/20,"ANAPONTE"
24,24,"O","M","V","","",08/10/20,"ANAPONTE"
25,25,"O","M","V","","",08/10/20,"ANAPONTE"
26,26,"O","M","V","","",08/10/20,"ANAPONTE"
27,27,"O","O","V","","",08/10/20,"ANAPONTE"
28,28,"O","O","V","","",08/10/20,"ANAPONTE"
29,29,"O","O","V","","",08/10/20,"ANAPONTE"
30,30,"O","O","V","","",08/10/20,"ANAPONTE"
31,31,"O","O","V","","",08/10/20,"ANAPONTE"
32,32,"O","O","V","","",08/10/20,"ANAPONTE"
33,33,"O","O","S","","",08/10/20,"ANAPONTE"
34,34,"O","O","S","","",08/10/20,"ANAPONTE"
35,35,"O","O","S","","",08/10/20,"ANAPONTE"
36,36,"O","O","S","","",08/10/20,"ANAPONTE"
37,37,"O","O","S","","",08/10/20,"ANAPONTE"
38,38,"O","O","S","","",08/10/20,"ANAPONTE"
39,39,"O","O","S","","",08/10/20,"ANAPONTE"
40,40,"O","O","S","","",08/10/20,"ANAPONTE"
41,41,"O","O","S","","",08/10/20,"ANAPONTE"
42,42,"O","O","S","","",08/10/20,"ANAPONTE"
43,43,"O","O","V","","",08/10/20,"ANAPONTE"
44,44,"O","O","V","","",08/10/20,"ANAPONTE"
45,45,"O","O","V","","",08/10/20,"ANAPONTE"
46,46,"O","O","V","","",08/10/20,"ANAPONTE"
47,47,"O","O","V","","",08/10/20,"ANAPONTE"
48,48,"O","M","S","","",08/10/20,"ANAPONTE"
49,49,"O","O","S","","",08/10/20,"ANAPONTE"
50,50,"O","O","S","","",08/10/20,"ANAPONTE"
51,51,"O","O","V","","",08/10/20,"ANAPONTE"
52,52,"O","M","V","","",08/10/20,"ANAPONTE"
53,53,"O","O","V","","",08/10/20,"ANAPONTE"
54,54,"O","M","V","","",08/10/20,"ANAPONTE"
55,55,"O","O","V","","",08/10/20,"ANAPONTE"
56,56,"O","O","V","","",08/10/20,"ANAPONTE"
57,57,"O","O","S","","",08/10/20,"ANAPONTE"
58,58,"O","O","V","","",08/10/20,"ANAPONTE"
59,59,"O","O","V","","",08/10/20,"ANAPONTE"
60,60,"O","O","V","","",08/10/20,"ANAPONTE"
61,61,"O","M","V","","",08/10/20,"ANAPONTE"
62,62,"O","O","V","","",08/10/20,"ANAPONTE"
63,63,"O","O","V","","",08/10/20,"ANAPONTE"
64,64,"O","O","V","","",08/10/20,"ANAPONTE"
65,65,"O","O","V","","",08/10/20,"ANAPONTE"
66,66,"O","M","V","","",08/10/20,"ANAPONTE"
67,67,"O","O","V","","",08/10/20,"ANAPONTE"
68,68,"O","O","S","","",08/10/20,"ANAPONTE"
69,69,"O","O","S","","",08/10/20,"ANAPONTE"
70,70,"O","O","S","","",08/10/20,"ANAPONTE"
71,71,"O","O","S","","",08/10/20,"ANAPONTE"
72,72,"","","","","",08/10/20,"ANAPONTE"
73,73,"O","O","V","","",06/11/21,"CMP"
74,74,"","","","","",07/03/22,"CMP"
75,75,"O","M","V","P","A",01/02/23,"ANAPONTE"
76,77,"O","M","S","P","A",01/02/23,"NVALUE"
79,79,"O","M","V","","",23/02/24,"HQUINTERO"
80,80,"O","M","V","","",23/02/24,"HQUINTERO"
81,81,"O","M","V","","",23/02/24,"HQUINTERO"
82,82,"O","M","V","","",23/02/24,"HQUINTERO"
83,83,"O","M","V","","",23/02/24,"HQUINTERO"
84,84,"O","M","V","","",23/02/24,"HQUINTERO"
85,85,"O","M","V","","",23/02/24,"HQUINTERO"
86,86,"O","M","V","","",23/02/24,"HQUINTERO"
87,87,"O","M","V","","",23/02/24,"HQUINTERO"
88,88,"O","M","V","","",23/02/24,"HQUINTERO"
89,89,"O","M","V","","",23/02/24,"HQUINTERO"
90,90,"O","M","V","","",23/02/24,"HQUINTERO"
91,91,"O","M","V","","",23/02/24,"HQUINTERO"
92,92,"O","M","V","","",23/02/24,"HQUINTERO"
93,93,"O","M","V","","",23/02/24,"HQUINTERO"
94,94,"O","M","V","","",23/02/24,"HQUINTERO"
95,95,"O","M","V","","",23/02/24,"HQUINTERO"
96,96,"O","M","V","","",23/02/24,"HQUINTERO"
103,103,"O","O","V","","",02/11/23,"MMENDIGANO"
104,104,"O","O","V","","",02/11/23,"MMENDIGANO"
105,105,"O","O","S","","",07/12/23,"CMP"
109,109,"O","O","V","","",02/04/24,"HQUINTERO"
110,110,"O","O","V","","",25/04/24,"MMENDIGANO"
111,111,"O","O","V","","",03/04/24,"HQUINTERO"
112,112,"O","O","V","","",03/04/24,"HQUINTERO"
113,113,"O","O","V","","",03/04/24,"HQUINTERO"
114,114,"O","O","V","","",03/04/24,"HQUINTERO"
115,115,"O","O","V","","",03/04/24,"HQUINTERO"
116,116,"O","O","V","","",03/04/24,"HQUINTERO"
117,117,"O","O","V","","",03/04/24,"HQUINTERO"
118,118,"O","O","V","","",25/04/24,"MMENDIGANO"
120,120,"O","O","S","","",28/05/24,"MMENDIGANO"
121,121,"O","O","V","","",02/07/24,"JUPATARROYO"
122,122,"O","O","V","","",02/07/24,"JUPATARROYO"
123,123,"O","O","S","","",18/12/24,"JULFORERO"
124,124,"O","O","V","","",18/12/24,"JULFORERO"
125,125,"O","O","S","","",18/12/24,"JULFORERO"
126,126,"O","O","S","","",18/12/24,"JULFORERO"
127,127,"O","O","V","","",02/09/24,"JUPATARROYO"
128,128,"O","O","S","","",18/12/24,"JULFORERO"
129,129,"O","O","V","","",18/12/24,"JULFORERO"
130,130,"O","O","V","","",22/11/24,"JUPATARROYO"
131,131,"O","O","V","","",23/01/25,"MMENDIGANO"
132,132,"O","O","V","","",23/01/25,"MMENDIGANO"
